"UsageDate","CostUSD","Cost","Currency"
"2026-08-08","1.79621911669442","1.79621911669442","USD"
"2026-08-09","2.01554490056387","2.01554490056387","USD"
"2026-08-10","0.18741056","0.18741056","USD"
